ts,Exit Time,Symbol,Side,Closed PnL,exec_fee,avgEntryPrice,avgExitPrice,qty,orderId,orderLinkId
1770823069914,2026-02-11 15:17:49,BNBUSDT,Buy,-0.18515155,,591.8,593.4625,0.08,cfc8e047-c886-4366-87c8-55017ce7f535,
1770824102237,2026-02-11 15:35:02,XRPUSDT,Buy,-0.06598221,,1.3527,1.353,36.9,6915b664-9c94-4219-977e-ac0009863a1e,
1770824116633,2026-02-11 15:35:16,ADAUSDT,Buy,-0.13399848,,0.2514,0.2518,198,e04bc847-5b77-439b-9687-088da4bd5036,
1770824117551,2026-02-11 15:35:17,ETHUSDT,Buy,-0.10817827,,1924.64,1927.93,0.02,7107a411-5cc0-404e-beec-7fea31b3816d,
1770824163485,2026-02-11 15:36:03,BTCUSDT,Buy,-0.2081262,,66319.9,66455,0.001,c2987c0f-74c0-477f-a262-e3fd697438b2,
1770825107772,2026-02-11 15:51:47,ADAUSDT,Buy,0.22116993,,0.2528,0.2514,197,509bd23c-effc-4d5b-b7f8-c32cef9fd098,
1770826862741,2026-02-11 16:21:02,SOLUSDT,Buy,-0.7682316,,79.62,80.84,0.6,91f957a7-8021-4201-8989-daf3afe62278,
1770828011673,2026-02-11 16:40:11,ETHUSDT,Buy,0.0407851,,1930.03,1925.87,0.02,91ffcf28-6ec2-46e2-8b05-b1409f7d110d,
1770828030346,2026-02-11 16:40:30,BTCUSDT,Buy,0.01413316,,66468,66380.8,0.001,bfc9c117-3cab-4817-b44b-6bced5f28d01,
1770829473473,2026-02-11 17:04:33,XRPUSDT,Buy,0.10020783,,1.3515,1.3473,36.9,227a1bb2-e5bf-40e4-aaeb-565aed017a6d,
1770829756662,2026-02-11 17:09:16,ETHUSDT,Buy,-0.06014572,,1915.23,1916.8,0.02,8a3a5f2e-5511-4e27-ba28-3ecd1944708d,
1770829865367,2026-02-11 17:11:05,LINKUSDT,Buy,0.43027376,,8.257,8.179,6,bde28cde-1ca7-4392-8825-288aa329df6c,
