datetime,ts,open,high,low,close,volume
2025-10-04 18:30:00+00:00,1759602600000,226.65,226.69,225.95,226.23,50603.4
2025-10-04 18:45:00+00:00,1759603500000,226.23,226.34,225.72,225.98,43512.4
2025-10-04 19:00:00+00:00,1759604400000,225.98,226.39,225.9,226.33,23398.6
2025-10-04 19:15:00+00:00,1759605300000,226.33,226.63,226.01,226.5,38229.4
2025-10-04 19:30:00+00:00,1759606200000,226.5,226.76,226.26,226.3,47246.9
2025-10-04 19:45:00+00:00,1759607100000,226.3,226.86,226.23,226.84,23268.9
2025-10-04 20:00:00+00:00,1759608000000,226.84,227.35,226.82,227.33,51637.5
2025-10-04 20:15:00+00:00,1759608900000,227.33,227.9,227.22,227.71,51973.9
2025-10-04 20:30:00+00:00,1759609800000,227.71,227.88,227.42,227.7,36619.2
2025-10-04 20:45:00+00:00,1759610700000,227.7,227.87,227.22,227.25,80042.0
2025-10-04 21:00:00+00:00,1759611600000,227.25,227.84,227.15,227.58,40759.5
2025-10-04 21:15:00+00:00,1759612500000,227.58,228.18,227.55,228.1,45545.7
2025-10-04 21:30:00+00:00,1759613400000,228.1,228.29,227.66,227.69,43854.6
2025-10-04 21:45:00+00:00,1759614300000,227.69,227.7,227.17,227.17,19897.3
2025-10-04 22:00:00+00:00,1759615200000,227.17,227.69,227.13,227.4,51767.5
2025-10-04 22:15:00+00:00,1759616100000,227.4,227.48,226.79,227.34,60723.8
2025-10-04 22:30:00+00:00,1759617000000,227.34,227.82,227.34,227.62,33387.8
2025-10-04 22:45:00+00:00,1759617900000,227.62,227.91,227.54,227.61,33120.4
2025-10-04 23:00:00+00:00,1759618800000,227.61,227.69,227.12,227.17,11667.5
2025-10-04 23:15:00+00:00,1759619700000,227.17,227.33,226.93,227.33,15187.6
2025-10-04 23:30:00+00:00,1759620600000,227.33,227.9,227.31,227.89,23603.1
2025-10-04 23:45:00+00:00,1759621500000,227.89,228.1,227.6,227.71,22069.7
2025-10-05 00:00:00+00:00,1759622400000,227.71,227.93,227.01,227.2,37119.7
2025-10-05 00:15:00+00:00,1759623300000,227.2,228.15,227.01,228.09,33381.0
2025-10-05 00:30:00+00:00,1759624200000,228.09,228.16,227.21,227.3,40502.4
2025-10-05 00:45:00+00:00,1759625100000,227.3,227.37,226.3,226.69,99869.1
2025-10-05 01:00:00+00:00,1759626000000,226.69,227.45,226.6,227.19,32887.5
2025-10-05 01:15:00+00:00,1759626900000,227.19,227.33,226.4,226.91,48602.2
2025-10-05 01:30:00+00:00,1759627800000,226.91,227.48,226.82,227.4,32352.9
2025-10-05 01:45:00+00:00,1759628700000,227.4,227.72,227.05,227.63,37952.0
2025-10-05 02:00:00+00:00,1759629600000,227.63,227.88,227.16,227.71,23194.4
2025-10-05 02:15:00+00:00,1759630500000,227.71,228.06,227.39,228.0,47176.8
2025-10-05 02:30:00+00:00,1759631400000,228.0,231.34,228.0,229.1,684484.5
2025-10-05 02:45:00+00:00,1759632300000,229.1,231.25,229.09,230.99,187449.6
2025-10-05 03:00:00+00:00,1759633200000,230.99,232.09,230.68,230.7,241176.2
2025-10-05 03:15:00+00:00,1759634100000,230.7,231.14,230.02,230.93,146033.4
2025-10-05 03:30:00+00:00,1759635000000,230.93,232.22,230.88,231.77,174822.0
2025-10-05 03:45:00+00:00,1759635900000,231.77,231.97,230.61,230.8,72556.4
2025-10-05 04:00:00+00:00,1759636800000,230.8,231.81,230.77,231.39,74001.9
2025-10-05 04:15:00+00:00,1759637700000,231.39,231.91,231.08,231.54,67651.6
2025-10-05 04:30:00+00:00,1759638600000,231.54,232.32,231.23,232.1,93354.7
2025-10-05 04:45:00+00:00,1759639500000,232.1,234.89,232.04,233.65,660783.4
2025-10-05 05:00:00+00:00,1759640400000,233.65,234.85,233.2,233.79,220721.1
2025-10-05 05:15:00+00:00,1759641300000,233.79,234.91,233.25,234.7,122137.5
2025-10-05 05:30:00+00:00,1759642200000,234.7,234.84,234.04,234.37,103681.4
2025-10-05 05:45:00+00:00,1759643100000,234.37,234.44,233.82,234.42,73738.0
2025-10-05 06:00:00+00:00,1759644000000,234.42,235.31,234.35,235.27,213841.8
2025-10-05 06:15:00+00:00,1759644900000,235.27,235.89,234.73,235.43,173758.1
2025-10-05 06:30:00+00:00,1759645800000,235.43,235.82,234.7,235.71,94446.0
2025-10-05 06:45:00+00:00,1759646700000,235.71,235.71,234.76,235.09,68458.5
2025-10-05 07:00:00+00:00,1759647600000,235.09,236.58,234.87,236.23,293813.9
2025-10-05 07:15:00+00:00,1759648500000,236.23,236.92,235.58,235.59,213380.2
2025-10-05 07:30:00+00:00,1759649400000,235.59,235.92,235.33,235.74,89421.1
2025-10-05 07:45:00+00:00,1759650300000,235.74,236.83,235.74,236.54,128387.0
